Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Sao,Pontos_Ganhos,Pontos_Acumulados
20/10/2025,Vas,1,0,Flu,maracana,Derrrota,0,41
16/10/2025,Flu,1,0,Juv,maracana,Vitoria,3,41
8/10/2025,Mir,1,1,Flu,Mirassol,Derrota,0,38
4/10/2025,Flu,3,0,Atl,maracana,Vitoria,3,38
1/10/2025,Spo,2,2,Flu,Recife - PE,Empate,1,35
28/09/2025,Flu,2,0,Bot,Maracana,Vitoria,3,34
20/09/2025,Vit,0,1,Flu,Manoel Barradas,Vitoria,3,31
13/09/2025,Flu,0,1,Cor,Maracana,Derrota,0,28
31/08/2025,San,0,0,Flu,Vila Belmiro,Empate,1,28
23/08/2025,Red,4,2,Flu,Cicero de Souza Marques,Derrota,0,27
16/08/2025,Flu,2,1,For,Maracana,Vitoria,3,27
9/8/2025,Bah,3,3,Flu,Arena Fonte Nova,Empate,1,24
2/8/2025,Flu,1,0,Gre,Maracana,Vitoria,3,23
27/07/2025,Sao,3,1,Flu,Morumbi,Derrota,0,20
23/07/2025,Flu,1,2,Pal,Maracana,Derrota,0,20
20/07/2025,Fla,1,0,Flu,Maracana,Derrota,0,20
17/07/2025,Flu,0,2,Cru,Maracana,Derrota,0,20
1/6/2025,Int,0,2,Flu,Beira,Vitoria,3,20
24/05/2025,Flu,2,1,Vas,Maracana,Vitoria,3,17
18/05/2025,Juv,1,1,Flu,Alfredo Jaconi,Empate,1,14
11/5/2025,Atl,3,2,Flu,ARENA MRV,Derrota,0,13
3/5/2025,Flu,2,1,Spo,Maracana,Vitoria,3,13
26/04/2025,Bot,2,0,Flu,Nilton Santos,Derrota,0,10
20/04/2025,Flu,1,1,Vit,Maracana,Empate,1,10
16/04/2025,Cor,0,2,Flu,Neo Quimica Arena,Vitoria,3,9
13/04/2025,Flu,1,0,San,Maracana,Vitoria,3,6
6/4/2025,Flu,2,1,Red,Maracana,Vitoria,3,3
29/03/2025,For,2,0,Flu,Arena Castelao,Derrota,0,0
