Data,Time da Casa,Placar,Time Visitante,Campeonato,Resultado (Bahia),Vencedor
25/05/2025,Grêmio,Jan-00,Bahia,Brasileirão 2025,Derrota,Grêmio
17/08/2024,Grêmio,0-2,Bahia,Brasileirão 2024,Vitória,Bahia
27/04/2024,Bahia,Jan-00,Grêmio,Brasileirão 2024,Vitória,Bahia
4/11/2023,Grêmio,Jan-00,Bahia,Brasileirão 2023,Derrota,Grêmio
12/7/2023,Grêmio,1-1 (4-3 Pên.),Bahia,Copa do Brasil 2023,Empate,Grêmio
4/7/2023,Bahia,1-Jan,Grêmio,Copa do Brasil 2023,Empate,Empate
1/7/2023,Bahia,2-Jan,Grêmio,Brasileirão 2023,Derrota,Grêmio
16/10/2022,Grêmio,1-Jan,Bahia,Série B 2022,Empate,Empate
3/7/2022,Bahia,0-0,Grêmio,Série B 2022,Empate,Empate
26/11/2021,Bahia,1-Mar,Grêmio,Brasileirão 2021,Vitória,Bahia
21/08/2021,Grêmio,Feb-00,Bahia,Brasileirão 2021,Derrota,Grêmio
6/1/2021,Grêmio,1-Feb,Bahia,Brasileirão 2020,Derrota,Grêmio
10/9/2020,Bahia,0-2,Grêmio,Brasileirão 2020,Derrota,Grêmio
16/10/2019,Grêmio,0-1,Bahia,Brasileirão 2019,Vitória,Bahia
17/07/2019,Bahia,0-1,Grêmio,Copa do Brasil 2019,Derrota,Grêmio
10/7/2019,Grêmio,1-Jan,Bahia,Copa do Brasil 2019,Empate,Empate
1/6/2019,Bahia,Jan-00,Grêmio,Brasileirão 2019,Vitória,Bahia
6/10/2018,Grêmio,2-Feb,Bahia,Brasileirão 2018,Empate,Empate
3/6/2018,Bahia,0-2,Grêmio,Brasileirão 2018,Derrota,Grêmio
24/09/2017,Bahia,Jan-00,Grêmio,Brasileirão 2017,Vitória,Bahia
