data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_bahia,rodada,competicao
2025-09-28,Bahia,Bahia,1-0,Palmeiras,Palmeiras,V,R25,Brasileirão 2025
2025-04-27,Palmeiras,Palmeiras,0-1,Bahia,Bahia,V,R6,Brasileirão 2025
2024-11-20,Bahia,Bahia,1-2,Palmeiras,Palmeiras,D,R34,Brasileirão 2024
2024-07-07,Palmeiras,Palmeiras,2-0,Bahia,Bahia,D,R15,Brasileirão 2024
2023-10-28,Palmeiras,Palmeiras,1-0,Bahia,Bahia,D,R30,Brasileirão 2023
2023-06-21,Bahia,Bahia,1-0,Palmeiras,Palmeiras,V,R11,Brasileirão 2023
2021-10-12,Bahia,Bahia,0-0,Palmeiras,Palmeiras,E,R26,Brasileirão 2021
2021-06-27,Palmeiras,Palmeiras,3-2,Bahia,Bahia,D,R7,Brasileirão 2021
2020-12-12,Palmeiras,Palmeiras,3-0,Bahia,Bahia,D,R25,Brasileirão 2020
2020-08-29,Bahia,Bahia,1-1,Palmeiras,Palmeiras,E,R6,Brasileirão 2020
2019-11-17,Bahia,Bahia,1-1,Palmeiras,Palmeiras,E,R33,Brasileirão 2019
2019-08-11,Palmeiras,Palmeiras,2-2,Bahia,Bahia,E,R14,Brasileirão 2019
2018-09-16,Bahia,Bahia,1-1,Palmeiras,Palmeiras,E,R25,Brasileirão 2018
2018-08-16,Palmeiras,Palmeiras,1-0,Bahia,Bahia,D,QF,Copa do Brasil 2018
2018-08-02,Bahia,Bahia,0-0,Palmeiras,Palmeiras,E,QF,Copa do Brasil 2018
2018-05-19,Palmeiras,Palmeiras,3-0,Bahia,Bahia,D,R6,Brasileirão 2018
2017-10-12,Palmeiras,Palmeiras,2-2,Bahia,Bahia,E,R27,Brasileirão 2017
2017-06-18,Bahia,Bahia,2-4,Palmeiras,Palmeiras,D,R8,Brasileirão 2017
2014-11-02,Bahia,Bahia,0-1,Palmeiras,Palmeiras,D,R32,Brasileirão 2014
2014-08-03,Palmeiras,Palmeiras,1-1,Bahia,Bahia,E,R13,Brasileirão 2014
