data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_corinthians,rodada,competicao
2025-05-10,Mirassol,Mirassol,2-1,Corinthians,Corinthians,D,R8,Brasileirão 2025
2025-03-02,Corinthians,Corinthians,2-0,Mirassol,Mirassol,V,QF,Paulista 2025
2023-02-19,Corinthians,Corinthians,3-0,Mirassol,Mirassol,V,A,Paulista 2023
2022-02-10,Corinthians,Corinthians,2-1,Mirassol,Mirassol,V,C,Paulista 2022
2021-03-23,Mirassol,Mirassol,0-1,Corinthians,Corinthians,V,A,Paulista 2021
2020-08-02,Corinthians,Corinthians,1-0,Mirassol,Mirassol,V,SF,Paulista 2020
2020-01-26,Mirassol,Mirassol,1-1,Corinthians,Corinthians,E,A,Paulista 2020
2018-03-07,Corinthians,Corinthians,1-0,Mirassol,Mirassol,V,D,Paulista 2018
2017-02-25,Mirassol,Mirassol,2-3,Corinthians,Corinthians,V,D,Paulista 2017
2013-01-27,Mirassol,Mirassol,0-1,Corinthians,Corinthians,V,R3,Paulista 2013
2012-01-21,Corinthians,Corinthians,2-1,Mirassol,Mirassol,V,R1,Paulista 2012
2011-03-13,Mirassol,Mirassol,2-3,Corinthians,Corinthians,V,R13,Paulista 2011
2010-01-27,Corinthians,Corinthians,1-1,Mirassol,Mirassol,E,R4,Paulista 2010
2009-04-05,Mirassol,Mirassol,2-2,Corinthians,Corinthians,E,R19,Paulistão 2009
2008-02-02,Corinthians,Corinthians,0-0,Mirassol,Mirassol,E,R6,Paulistão 2008
