data,mandante,mandante_nome,placar,visitante,visitante_nome,resultado_juventude,rodada,competicao
2025-05-10,Fortaleza,Fortaleza,5-0,Juventude,Juventude,D,R8,Brasileirão 2025
2024-11-02,Juventude,Juventude,0-3,Fortaleza,Fortaleza,D,R32,Brasileirão 2024
2024-06-30,Fortaleza,Fortaleza,2-1,Juventude,Juventude,D,R13,Brasileirão 2024
2022-09-18,Juventude,Juventude,1-1,Fortaleza,Fortaleza,E,R27,Brasileirão 2022
2022-05-28,Fortaleza,Fortaleza,1-1,Juventude,Juventude,E,R8,Brasileirão 2022
2021-12-03,Fortaleza,Fortaleza,1-0,Juventude,Juventude,D,R36,Brasileirão 2021
2021-08-21,Juventude,Juventude,1-1,Fortaleza,Fortaleza,E,R17,Brasileirão 2021
2018-11-15,Fortaleza,Fortaleza,4-1,Juventude,Juventude,D,R37,Série B 2018
2018-07-28,Juventude,Juventude,0-3,Fortaleza,Fortaleza,D,R18,Série B 2018
2016-10-09,Fortaleza,Fortaleza,1-1,Juventude,Juventude,E,QF,Série C 2016
2016-10-03,Juventude,Juventude,0-0,Fortaleza,Fortaleza,E,QF,Série C 2016
2009-09-19,Juventude,Juventude,2-0,Fortaleza,Fortaleza,V,R25,Série B 2009
2009-06-12,Fortaleza,Fortaleza,3-2,Juventude,Juventude,D,R6,Série B 2009
2008-09-16,Fortaleza,Fortaleza,0-0,Juventude,Juventude,E,R25,Série B 2008
2008-06-10,Juventude,Juventude,1-1,Fortaleza,Fortaleza,E,R6,Série B 2008
2006-11-26,Juventude,Juventude,2-2,Fortaleza,Fortaleza,E,R37,Brasileirão 2006
2006-08-20,Fortaleza,Fortaleza,4-1,Juventude,Juventude,D,R18,Brasileirão 2006
2005-11-02,Juventude,Juventude,2-0,Fortaleza,Fortaleza,V,R36,Brasileirão 2005
2005-07-27,Fortaleza,Fortaleza,2-0,Juventude,Juventude,D,R15,Brasileirão 2005
2003-10-05,Juventude,Juventude,2-2,Fortaleza,Fortaleza,E,R34,Brasileirão 2003
