Data,mandante,placar, visitante,vencedor,Rodada,Competição,
16/5/25,Aston Villa,2-0,Tottenham,Tottenham,R37,Premier League 24/24,
9/2/25,Aston Villa,2-0,Tottenham,Tottenham,4R,Premier League 24/26,
3/11/24,Tottenham,4-1,Aston Villa,Aston Villa,R10,Premier League 24/28,
10/3/24,Aston Villa,0-4,Tottenham,Tottenham,R28,Premier League 24/30,
26/11/23,Tottenham,1-2,Aston Villa,Aston Villa,R13,Premier League 24/32,
13/5/23,Aston Villa,2-12,Tottenham,Tottenham,R36,Premier League 24/34,
1/1/23,Tottenham,0-2,Aston Villa,Aston Villa,R18,Premier League 24/36,
9/4/22,Aston Villa,0-4,Tottenham,Tottenham,R32,Premier League 24/38,
3/10/21,Tottenham,2-1,Aston Villa,Aston Villa,R7,Premier League 24/40,
19/5/21,Tottenham,1-2,Aston Villa,Aston Villa,R37,Premier League 24/42,
21/3/21,Aston Villa,0-2,Tottenham,Tottenham,R18,Premier League 24/44,
16/2/20,Aston Villa,2-3,Tottenham,Tottenham,R26,Premier League 24/46,
10/8/19,Tottenham,3-1,Aston Villa,Aston Villa,R1,Premier League 24/48,
8/1/17,Tottenham,2-0,Aston Villa,Aston Villa,3E,Premier League 24/50,
13/3/16,Aston Villa,0-2,Tottenham,Tottenham,R30,Premier League 24/52,
2/11/15,Tottenham,3-1,Aston Villa,Aston Villa,R11,Premier League 24/54,
11/4/15,Tottenham,0-1,Aston Villa,Aston Villa,R32,Premier League 24/56,
2/11/14,Aston Villa,1-2,Tottenham,Tottenham,R10,Premier League 24/58,
11/5/14,Tottenham,3-0,Aston Villa,Aston Villa,R38,Premier League 24/60,
20/10/13,Aston Villa,0-2,Tottenham,Tottenham,R8,Premier League 24/62,
