Data,Mandante,Placar,Visitante,Vencedor,Rodada,Competição
2022-10-31,Ceará,0-1,Fluminense,Fluminense,R35,Brasileirão 2022
2022-07-09,Fluminense,2-1,Ceará,Fluminense,R16,Brasileirão 2022
2021-10-31,Ceará,1-0,Fluminense,Ceará,R29,Brasileirão 2021
2021-07-07,Fluminense,0-0,Ceará,Empate,R10,Brasileirão 2021
2021-02-15,Ceará,1-3,Fluminense,Fluminense,R36,Brasileirão 2020
2020-10-17,Fluminense,2-2,Ceará,Empate,R17,Brasileirão 2020
2019-10-30,Ceará,2-0,Fluminense,Ceará,R29,Brasileirão 2019
2019-07-15,Fluminense,1-1,Ceará,Empate,R10,Brasileirão 2019
2018-11-19,Fluminense,0-0,Ceará,Empate,R35,Brasileirão 2018
2018-07-28,Ceará,1-0,Fluminense,Ceará,R16,Brasileirão 2018
2011-10-29,Ceará,1-2,Fluminense,Fluminense,R32,Brasileirão 2011
2011-07-31,Fluminense,4-0,Ceará,Fluminense,R13,Brasileirão 2011
2010-09-08,Fluminense,3-1,Ceará,Fluminense,R20,Brasileirão 2010
2010-05-09,Ceará,1-0,Fluminense,Ceará,R1,Brasileirão 2010
2005-06-01,Ceará,1-4,Fluminense,Fluminense,SF,Copa do Brasil 2005
2005-05-25,Fluminense,2-2,Ceará,Empate,SF,Copa do Brasil 2005
1997-03-20,Fluminense,0-0,Ceará,Empate,1F,Copa Brasil 1997
1997-03-12,Ceará,1-0,Fluminense,Ceará,1F,Copa Brasil 1997
1986-10-01,Ceará,0-2,Fluminense,Fluminense,A,Brasileirão 1986
1982-03-31,Fluminense,2-0,Ceará,Fluminense,1/8,Brasileirão 1982
