Data,Time da Casa,Placar,Time Visitante,Campeonato,Resultado (Juventude),Vencedor
26/05/2025,Red Bull Bragantino,Jan-00,Juventude,Brasileirão 2025,Derrota,Red Bull Bragantino
29/09/2024,Juventude,1-Jan,Red Bull Bragantino,Brasileirão 2024,Empate,Empate
15/06/2024,Red Bull Bragantino,1-Feb,Juventude,Brasileirão 2024,Derrota,Red Bull Bragantino
31/07/2022,Red Bull Bragantino,Jan-00,Juventude,Brasileirão 2022,Derrota,Red Bull Bragantino
11/4/2022,Juventude,2-Feb,Red Bull Bragantino,Brasileirão 2022,Empate,Empate
30/11/2021,Juventude,Jan-00,Red Bull Bragantino,Brasileirão 2021,Vitória,Juventude
14/08/2021,Red Bull Bragantino,2-Jan,Juventude,Brasileirão 2021,Vitória,Juventude
22/09/2009,Bragantino,2-Mar,Juventude,Série B 2009,Derrota,Bragantino
19/06/2009,Juventude,Jan-00,Bragantino,Série B 2009,Vitória,Juventude
30/08/2008,Juventude,3-Feb,Bragantino,Série B 2008,Derrota,Bragantino
23/05/2008,Bragantino,0-1,Juventude,Série B 2008,Vitória,Juventude
28/10/1998,Bragantino,Jan-00,Juventude,Brasileirão 1998,Derrota,Bragantino
5/11/1997,Juventude,1-Feb,Bragantino,Brasileirão 1997,Vitória,Juventude
26/10/1996,Bragantino,1-Mar,Juventude,Brasileirão 1996,Derrota,Bragantino
10/9/1995,Juventude,1-Jan,Bragantino,Brasileirão 1995,Empate,Empate
