Data,Time_Casa,Gols_Casa,Gols_Visitante,Time_Visitante,Local,Resultado_Fla,Pontos_Ganhos,Pontos_Acumulados
02/10/2025,Fla,0,0,Cru,Rio de Janeiro - RJ,Empate,1,1
28/09/2025,Cor,1,2,Fla,Sao Paulo - SP,Vitoria,3,4
29/03/2025,Fla,1,1,Int,Rio de Janeiro - RJ,Empate,1,1
06/04/2025,Vit,1,2,Fla,Salvador - BA,Vitoria,3,4
13/04/2025,Gre,0,2,Fla,Porto Alegre - RS,Vitoria,3,7
16/04/2025,Fla,6,0,Juv,Rio de Janeiro - RJ,Vitoria,3,10
19/04/2025,Vas,0,0,Fla,Rio de Janeiro - RJ,Empate,1,11
27/04/2025,Fla,4,0,Cor,Rio de Janeiro - RJ,Vitoria,3,14
04/05/2025,Cru,2,1,Fla,Belo Horizonte - MG,Empate,0,14
10/05/2025,Fla,1,0,Bah,Rio de Janeiro - RJ,Vitoria,3,17
18/05/2025,Fla,0,0,Bot,Rio de Janeiro - RJ,Empate,1,18
25/05/2025,Pal,0,2,Fla,Sao Paulo - SP,Vitoria,3,21
01/06/2025,Fla,5,0,For,Rio de Janeiro - RJ,Vitoria,3,24
12/07/2025,Fla,2,0,Sao,Rio de Janeiro - RJ,Vitoria,3,27
16/07/2025,San,1,0,Fla,Santos - SP,Empate,0,27
20/07/2025,Fla,1,0,Flu,Rio de Janeiro - RJ,Vitoria,3,30
23/07/2025,Red,1,2,Fla,Braganca Paulista - SP,Vitoria,3,33
27/07/2025,Fla,1,0,Atl,Rio de Janeiro - RJ,Vitoria,3,36
03/08/2025,Cea,1,1,Fla,Fortaleza - CE,Empate,1,37
09/08/2025,Fla,2,1,Mir,Rio de Janeiro - RJ,Vitoria,3,40
17/08/2025,Int,1,3,Fla,Porto Alegre - RS,Vitoria,3,43
25/08/2025,Fla,8,0,Vit,Rio de Janeiro - RJ,Vitoria,3,46
31/08/2025,Fla,1,1,Gre,Rio de Janeiro - RJ,Empate,1,47
14/09/2025,Juv,0,2,Fla,Caxias do Sul - RS,Vitoria,3,50
21/09/2025,Fla,1,1,Vas,Rio de Janeiro - RJ,Empate,1,51
